trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.05, 'e': 0.14666354163210368}",35,20,25.807551146113457,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.05, 'e': 0.14519690621578263}",25,3,25.341393732553495,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.05, 'e': 0.1437449371536248}",25,8,15.553245326068925,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.05, 'e': 0.14230748778208857}",20,6,-18.655052356163306,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
194,False,"{'a': 0.05, 'e': 0.14088441290426768}",20,8,23.28535253938619,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.05, 'e': 0.139475568775225}",20,8,20.155743301518196,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.05, 'e': 0.13808081308747275}",20,11,18.087378116695128,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.05, 'e': 0.136700004956598}",20,3,-1.6568887951478826,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
198,False,"{'a': 0.05, 'e': 0.13533300490703204}",35,20,8.481526403725178,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
199,False,"{'a': 0.05, 'e': 0.13397967485796172}",20,15,-10.919365765065043,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
200,False,"{'a': 0.05, 'e': 0.1326398781093821}",25,12,13.51054795806931,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.05, 'e': 0.13131347932828827}",20,5,12.964779045568124,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.05, 'e': 0.1300003445350054}",30,8,19.76713934481441,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.05, 'e': 0.12870034108965533}",20,6,27.360374783646208,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.05, 'e': 0.1274133376787588}",30,13,9.697267071879116,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.05, 'e': 0.12613920430197118}",25,14,-23.503316784841907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
206,False,"{'a': 0.05, 'e': 0.12487781225895148}",20,10,18.546078071933653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.05, 'e': 0.12362903413636196}",20,9,17.238782606949027,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.05, 'e': 0.12239274379499834}",35,18,10.337548857093473,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
209,False,"{'a': 0.05, 'e': 0.12116881635704835}",30,20,20.62807938296328,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.05, 'e': 0.11995712819347787}",25,13,12.319326312664547,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.05, 'e': 0.11875755691154309}",25,20,9.203435900449453,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.05, 'e': 0.11756998134242766}",30,8,28.980754478650876,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.05, 'e': 0.11639428152900338}",25,16,17.136812418562048,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.05, 'e': 0.11523033871371334}",20,5,2.1315201923356,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
215,False,"{'a': 0.05, 'e': 0.1140780353265762}",20,12,13.309210270879792,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.05, 'e': 0.11293725497331045}",35,15,31.44978031167724,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.05, 'e': 0.11180788242357734}",20,2,36.83483965372723,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.05, 'e': 0.11068980359934157}",20,11,15.075018379890833,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.05, 'e': 0.10958290556334815}",20,7,25.937010112060864,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.05, 'e': 0.10848707650771466}",20,10,20.108770829129217,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.05, 'e': 0.10740220574263752}",25,11,25.98477955513274,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.05, 'e': 0.10632818368521114}",20,13,15.365052823365978,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.05, 'e': 0.10526490184835903}",20,0,20.37238528352811,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
224,False,"{'a': 0.05, 'e': 0.10421225282987544}",25,11,30.055405580896675,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.05, 'e': 0.10317013030157669}",25,16,16.179573411985906,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.05, 'e': 0.10213842899856092}",25,20,8.178798262747586,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.05, 'e': 0.10111704470857531}",20,12,18.45280736894165,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.05, 'e': 0.10010587426148955}",20,8,17.229627800835704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.05, 'e': 0.09910481551887466}",25,11,27.923027999097876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.05, 'e': 0.0981137673636859}",30,12,29.6710216131408,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.05, 'e': 0.09713262969004904}",30,24,13.599842924126285,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.05, 'e': 0.09616130339314856}",20,9,-2.018086458240913,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
233,False,"{'a': 0.05, 'e': 0.09519969035921708}",30,0,46.68513918305619,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.05, 'e': 0.0942476934556249}",20,13,13.86727409111826,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.05, 'e': 0.09330521652106866}",25,9,17.583953627664577,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.05, 'e': 0.09237216435585796}",20,9,10.836154411905822,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.05, 'e': 0.09144844271229938}",20,0,7.706488263114599,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
238,False,"{'a': 0.05, 'e': 0.0905339582851764}",30,16,25.32279648824686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.05, 'e': 0.08962861870232462}",20,0,14.45702396583121,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
240,False,"{'a': 0.05, 'e': 0.08873233251530138}",25,7,17.652288706422752,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.05, 'e': 0.08784500919014836}",20,1,17.114438731431587,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.05, 'e': 0.08696655909824688}",20,8,22.3504026919206,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.05, 'e': 0.0860968935072644}",25,10,27.535162765310297,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.05, 'e': 0.08523592457219176}",20,16,7.770908980102384,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.05, 'e': 0.08438356532646984}",20,10,19.621279895195293,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.05, 'e': 0.08353972967320515}",25,14,20.021182758388118,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.05, 'e': 0.0827043323764731}",25,15,-0.58632339669008,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
248,False,"{'a': 0.05, 'e': 0.08187728905270836}",20,3,21.536689382078006,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.05, 'e': 0.08105851616218128}",25,0,40.30373648281122,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
250,False,"{'a': 0.05, 'e': 0.08024793100055946}",30,12,35.08077900337748,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.05, 'e': 0.07944545169055386}",30,1,29.677322563462514,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.05, 'e': 0.07865099717364833}",25,11,28.34976366154704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.05, 'e': 0.07786448720191184}",20,9,-18.29981918668863,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
254,False,"{'a': 0.05, 'e': 0.07708584232989273}",20,7,20.680221875129412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.05, 'e': 0.0763149839065938}",20,6,26.436494061169682,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.05, 'e': 0.07555183406752786}",20,0,-1.4558507070353486,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
257,False,"{'a': 0.05, 'e': 0.07479631572685258}",25,7,33.06802174231012,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.05, 'e': 0.07404835256958406}",20,15,11.051747471725395,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.05, 'e': 0.07330786904388821}",25,3,41.3867127069264,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.05, 'e': 0.07257479035344933}",20,12,18.262259044762082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.05, 'e': 0.07184904244991483}",20,8,20.084837303795116,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.05, 'e': 0.07113055202541568}",20,6,23.255138286271507,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
