trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
818,False,"{'a': 0.05, 'e': 0.01648553822715019}",25,8,31.75698030532139,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.05, 'e': 0.016403110536014436}",20,0,33.553485596150686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
820,False,"{'a': 0.05, 'e': 0.016321094983334363}",25,16,19.059126626815154,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.05, 'e': 0.016239489508417693}",20,4,30.977144075216632,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.05, 'e': 0.016158292060875604}",25,12,26.94131773968527,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
823,False,"{'a': 0.05, 'e': 0.016077500600571226}",20,0,35.483733037217235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
824,False,"{'a': 0.05, 'e': 0.01599711309756837}",20,16,8.31003978798542,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
825,False,"{'a': 0.05, 'e': 0.01591712753208053}",20,5,14.015552738436288,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
826,False,"{'a': 0.05, 'e': 0.015837541894420125}",20,12,16.10106185562421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
827,False,"{'a': 0.05, 'e': 0.015758354184948024}",25,15,19.75828106224527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
828,False,"{'a': 0.05, 'e': 0.015679562414023285}",30,21,14.837821772842526,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.05, 'e': 0.015601164601953169}",35,18,19.295129487491476,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
830,False,"{'a': 0.05, 'e': 0.015523158778943402}",35,23,14.58697045651924,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
831,False,"{'a': 0.05, 'e': 0.015445542985048685}",20,7,22.4086144994173,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
832,False,"{'a': 0.05, 'e': 0.015368315270123441}",25,7,32.45151293417265,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
833,False,"{'a': 0.05, 'e': 0.015291473693772824}",25,7,21.84241929740958,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
834,False,"{'a': 0.05, 'e': 0.01521501632530396}",20,7,21.738678972017752,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
835,False,"{'a': 0.05, 'e': 0.01513894124367744}",30,22,15.028674640589706,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
